,demand,hour_sin,hour_cos,dow_sin,dow_cos,is_weekend,lag_1,lag_4,lag_96,lag_672,roll_mean_4,roll_mean_96,roll_std_96,rain_mm,rain_forecast,temperature_c,temperature_forecast,event_intensity
demand,1.0,-0.11362207316671434,-0.17829035767932536,0.09657205383196907,-0.013870011712506422,-0.11762001350032353,0.9496675954226992,0.8207170538083609,0.9236422179588065,0.9533848858978659,0.9177314233163789,0.47130895519162985,0.4443335954550163,-0.010056172769223659,-0.0076324757906052155,0.20750090328618778,0.20503254846319682,0.08783087867808366
hour_sin,-0.11362207316671434,1.0,1.1503251197951101e-17,4.2156465254344806e-19,1.3274971483172241e-18,-7.132313012337119e-18,-0.1250454526782558,-0.15585362518117993,-0.11455312203216139,-0.11106752252599421,-0.14463539443382536,-0.00427583613531261,-0.010016123710118039,0.013518203631890035,0.023262299542026535,-0.49113373163577173,-0.4855693091389236,-0.20606364550036407
hour_cos,-0.17829035767932536,1.1503251197951101e-17,1.0,-1.236948807974128e-18,-4.310298154873681e-19,-3.675265964489331e-19,-0.17033394853007952,-0.14227233380246523,-0.17759270613887976,-0.17777978159808677,-0.1607266505546357,-0.00022021564008187455,-0.01263207063415514,-0.04790829114456995,-0.047776449062343324,-0.8544138481464416,-0.83726203234468,0.10161934424983995
dow_sin,0.09657205383196907,4.2156465254344806e-19,-1.236948807974128e-18,1.0,5.2380442726004613e-17,-0.7899524624504768,0.09630353920552578,0.09557614881626536,0.0472120452595807,0.09658575693383278,0.09834384084473172,0.144706019770236,0.16628219512523493,-0.054394954673382505,-0.04165790995920721,-0.0007071989285278838,-0.001900964191167109,0.057759398682841585
dow_cos,-0.013870011712506422,1.3274971483172241e-18,-4.310298154873681e-19,5.2380442726004613e-17,1.0,0.16443264078707323,-0.013957666529468497,-0.014090103082701332,-0.08420846281170048,-0.011368071546880477,-0.014222936192091138,-0.09792614587829773,-0.09825223863703025,-0.062393603051773376,-0.05069522528294163,0.0009404483690399903,0.005227267777546323,0.062286367187840995
is_weekend,-0.11762001350032353,-7.132313012337119e-18,-3.675265964489331e-19,-0.7899524624504768,0.16443264078707323,1.0,-0.11725278709941037,-0.11612863339910015,-0.03889818863775727,-0.11600783687579334,-0.11958921494307939,-0.15969518534977292,-0.18617176142873842,0.02346266626700738,0.017071150814020875,0.0008556985052152612,0.0027932352577438872,-0.12401121417949433
lag_1,0.9496675954226992,-0.1250454526782558,-0.17033394853007952,0.09630353920552578,-0.013957666529468497,-0.11725278709941037,1.0,0.8786804928004721,0.9154419098354736,0.9441539117565623,0.9638036759969294,0.4731268001433594,0.44806684630167837,-0.006836949643347943,-0.003894996661295177,0.20617027296481896,0.20388788734237162,0.09614918784715054
lag_4,0.8207170538083609,-0.15585362518117993,-0.14227233380246523,0.09557614881626536,-0.014090103082701332,-0.11612863339910015,0.8786804928004721,1.0,0.789086763823837,0.8166756712639738,0.9638085773451323,0.47582506019506937,0.4530917186974736,-0.0030287061684370195,0.0006844183723023448,0.19719770662433775,0.19422803590131701,0.11518009996573568
lag_96,0.9236422179588065,-0.11455312203216139,-0.17759270613887976,0.0472120452595807,-0.08420846281170048,-0.03889818863775727,0.9154419098354736,0.789086763823837,1.0,0.9246081722497026,0.8834812815799377,0.47505331809700413,0.4552083798343362,0.013564685374728934,0.010245014691469203,0.20744519641419318,0.20539104279780743,0.044129288729276586
lag_672,0.9533848858978659,-0.11106752252599421,-0.17777978159808677,0.09658575693383278,-0.011368071546880477,-0.11600783687579334,0.9441539117565623,0.8166756712639738,0.9246081722497026,1.0,0.9126653492372173,0.47319785495025335,0.4458667746910388,0.01124046026105747,0.008794110751454292,0.20632118317063053,0.20284002722916775,0.06327320323224311
roll_mean_4,0.9177314233163789,-0.14463539443382536,-0.1607266505546357,0.09834384084473172,-0.014222936192091138,-0.11958921494307939,0.9638036759969294,0.9638085773451323,0.8834812815799377,0.9126653492372173,1.0,0.4877066828324271,0.4631858059252721,-0.004267730162286084,-0.0007236665863365891,0.20746081023407167,0.20484592013913142,0.10911750189807938
roll_mean_96,0.47130895519162985,-0.00427583613531261,-0.00022021564008187455,0.144706019770236,-0.09792614587829773,-0.15969518534977292,0.4731268001433594,0.47582506019506937,0.47505331809700413,0.47319785495025335,0.4877066828324271,1.0,0.953171512802991,0.0034713447991737804,0.004456546312123759,0.0017504580050551086,0.001670532581419744,0.04821974638743864
roll_std_96,0.4443335954550163,-0.010016123710118039,-0.01263207063415514,0.16628219512523493,-0.09825223863703025,-0.18617176142873842,0.44806684630167837,0.4530917186974736,0.4552083798343362,0.4458667746910388,0.4631858059252721,0.953171512802991,1.0,0.006135058441639546,0.007192088286069327,0.014886107389308411,0.014881933934340686,0.07317558294588329
rain_mm,-0.010056172769223659,0.013518203631890035,-0.04790829114456995,-0.054394954673382505,-0.062393603051773376,0.02346266626700738,-0.006836949643347943,-0.0030287061684370195,0.013564685374728934,0.01124046026105747,-0.004267730162286084,0.0034713447991737804,0.006135058441639546,1.0,0.8225739334175846,0.03570204663854013,0.03717073640679257,-0.021153304222208624
rain_forecast,-0.0076324757906052155,0.023262299542026535,-0.047776449062343324,-0.04165790995920721,-0.05069522528294163,0.017071150814020875,-0.003894996661295177,0.0006844183723023448,0.010245014691469203,0.008794110751454292,-0.0007236665863365891,0.004456546312123759,0.007192088286069327,0.8225739334175846,1.0,0.031469306362847796,0.03379612164225789,-0.01398250554162947
temperature_c,0.20750090328618778,-0.49113373163577173,-0.8544138481464416,-0.0007071989285278838,0.0009404483690399903,0.0008556985052152612,0.20617027296481896,0.19719770662433775,0.20744519641419318,0.20632118317063053,0.20746081023407167,0.0017504580050551086,0.014886107389308411,0.03570204663854013,0.031469306362847796,1.0,0.9824357596600439,0.014356973254407308
temperature_forecast,0.20503254846319682,-0.4855693091389236,-0.83726203234468,-0.001900964191167109,0.005227267777546323,0.0027932352577438872,0.20388788734237162,0.19422803590131701,0.20539104279780743,0.20284002722916775,0.20484592013913142,0.001670532581419744,0.014881933934340686,0.03717073640679257,0.03379612164225789,0.9824357596600439,1.0,0.01804037856802844
event_intensity,0.08783087867808366,-0.20606364550036407,0.10161934424983995,0.057759398682841585,0.062286367187840995,-0.12401121417949433,0.09614918784715054,0.11518009996573568,0.044129288729276586,0.06327320323224311,0.10911750189807938,0.04821974638743864,0.07317558294588329,-0.021153304222208624,-0.01398250554162947,0.014356973254407308,0.01804037856802844,1.0
