trial,familia,feature_set,accuracy,n_estimators,num_leaves,learning_rate,subsample,colsample_bytree,min_child_samples,reg_lambda,iterations,depth,l2_leaf_reg,max_depth,min_child_weight,reg_alpha
99,catboost,sin_lag_semanal,86.92414145157318,,,0.08,,,,,1200.0,10.0,3.0,,,
28,catboost,sin_lag_semanal,86.86469637969611,,,0.08,,,,,1500.0,6.0,3.0,,,
67,catboost,sin_lag_semanal,86.82136026397427,,,0.08,,,,,1500.0,6.0,10.0,,,
30,catboost,sin_lag_semanal,86.79258236386659,,,0.03,,,,,1200.0,10.0,1.0,,,
48,catboost,con_estacion,86.70218592307054,,,0.1,,,,,1200.0,8.0,1.0,,,
23,catboost,con_estacion,86.66706243456326,,,0.1,,,,,900.0,8.0,5.0,,,
41,catboost,con_estacion,86.647733008613,,,0.08,,,,,900.0,10.0,1.0,,,
10,lightgbm,sin_lag_semanal,86.64284235229565,2000.0,127.0,0.05,0.7,0.5,80.0,1.0,,,,,,
86,lightgbm,sin_lag_semanal,86.64185946045222,1200.0,127.0,0.05,1.0,0.5,80.0,1.0,,,,,,
33,lightgbm,sin_lag_semanal,86.61376646205542,1500.0,127.0,0.02,0.8,0.7,80.0,5.0,,,,,,
109,catboost,con_estacion,86.60510758890491,,,0.1,,,,,600.0,10.0,3.0,,,
72,catboost,con_estacion,86.58295372094027,,,0.1,,,,,1200.0,6.0,1.0,,,
50,lightgbm,sin_lag_semanal,86.57891555846089,1500.0,127.0,0.05,0.8,0.6,20.0,5.0,,,,,,
59,catboost,con_estacion,86.5760113647686,,,0.08,,,,,600.0,10.0,1.0,,,
82,catboost,con_estacion,86.51073476177646,,,0.05,,,,,900.0,8.0,1.0,,,
145,lightgbm,sin_lag_semanal,86.49006338956093,2000.0,127.0,0.01,0.6,0.7,20.0,0.0,,,,,,
144,lightgbm,sin_lag_semanal,86.48604326098554,1200.0,31.0,0.08,0.7,0.8,20.0,1.0,,,,,,
31,catboost,con_estacion,86.48270243078859,,,0.05,,,,,600.0,10.0,5.0,,,
